@RELATION BothInningResults

@attribute 'InningId' numeric
@attribute 'BoundaryRuns Presentage' numeric
@attribute 'avgMeanRunsInBattingSegment' numeric
@attribute 'avgPressureFactor' numeric
@attribute 'averageRunsInBattingSegment' numeric
@attribute 'dotBowlPresentage' numeric
@attribute 'dotBowlToRunsRatio' numeric
@attribute 'FirstBatOrSecondBat' {1,2}
@attribute 'fourHitting Frequency' numeric
@attribute 'matchId' numeric
@attribute 'numberOfBattingSegment' numeric
@attribute 'numberOfWicketsLost' numeric
@attribute 'sixHittingFrequency' numeric
@attribute 'Class' {win,loss}

@data
65,43.13725490196079,4.145833333333333,1.4166666666666667,4.145833333333333,33.87096774193548,0.20588235294117646,1,17.741935483870968,33,48,4,7.258064516129032,win
66,35.35911602209945,3.173076923076923,1.0576923076923077,3.173076923076923,37.5,0.26519337016574585,2,12.5,33,52,7,6.25,loss
67,25.641025641025642,2.5892857142857144,0.8571428571428571,2.5892857142857144,33.333333333333336,0.26282051282051283,1,8.130081300813009,34,56,7,4.065040650406504,loss
68,32.704402515723274,2.784313725490196,1.196078431372549,2.784313725490196,38.52459016393443,0.29559748427672955,2,10.655737704918034,34,51,7,4.918032786885246,win
69,36.36363636363637,2,0.8125,2,33.87096774193548,0.2937062937062937,1,10.483870967741936,35,64,8,1.6129032258064515,loss
70,33.333333333333336,3.292682926829268,1.170731707317073,3.292682926829268,32.98969072164948,0.2222222222222222,2,12.371134020618557,35,41,1,7.216494845360825,win
71,30.075187969924812,1.7428571428571429,0.7285714285714285,1.7428571428571429,33.59375,0.3233082706766917,1,7.8125,36,70,6,2.34375,win
72,47.27272727272727,1.6721311475409837,0.7377049180327869,1.6721311475409837,41.81818181818182,0.41818181818181815,2,11.818181818181818,36,61,10,0,loss
73,53.84615384615385,2.7169811320754715,1.1320754716981132,2.7169811320754715,44.09448818897638,0.358974358974359,1,16.53543307086614,37,53,6,2.3622047244094486,loss
74,30.379746835443036,5.461538461538462,1.7692307692307692,5.461538461538462,39.361702127659576,0.23417721518987342,2,12.76595744680851,37,26,1,12.76595744680851,win
75,36.199095022624434,4.235294117647059,1.5098039215686274,4.235294117647059,33.064516129032256,0.18552036199095023,1,16.129032258064516,38,51,3,11.290322580645162,win
76,40,3.52,1.22,3.52,35.53719008264463,0.2388888888888889,2,14.87603305785124,38,50,7,6.6115702479338845,loss
77,37.11340206185567,3.206896551724138,1.1379310344827587,3.206896551724138,24.8,0.15979381443298968,1,14.4,39,58,4,4.8,win
78,32.967032967032964,2.8870967741935485,1.2419354838709677,2.8870967741935485,31.9672131147541,0.21428571428571427,2,12.295081967213115,39,62,9,7.377049180327869,loss
79,41.791044776119406,1.6857142857142857,0.5142857142857142,1.6857142857142857,60.204081632653065,0.8805970149253731,1,7.142857142857143,40,35,10,1.0204081632653061,loss
80,47.05882352941177,3.8666666666666667,1.1333333333333333,3.8666666666666667,36.8421052631579,0.20588235294117646,2,21.05263157894737,40,15,2,7.894736842105263,win
81,33.898305084745765,3.4838709677419355,1.2580645161290323,3.4838709677419355,32.87671232876713,0.2033898305084746,1,13.698630136986301,41,31,4,8.219178082191782,loss
82,17.02127659574468,3.75,1.25,3.75,22,0.11702127659574468,2,8,41,24,3,16,win
83,42.63959390862944,3.3529411764705883,1.1764705882352942,3.3529411764705883,26.771653543307085,0.17258883248730963,1,16.53543307086614,42,51,1,2.3622047244094486,win
84,30.303030303030305,2.290909090909091,0.7454545454545455,2.290909090909091,47.2,0.44696969696969696,2,8,42,55,9,4.8,loss
85,38.20224719101124,2.7241379310344827,0.9310344827586207,2.7241379310344827,33.59375,0.24157303370786518,1,13.28125,43,58,7,4.6875,win
86,33.98692810457516,2.6363636363636362,0.9636363636363636,2.6363636363636362,37.903225806451616,0.30718954248366015,2,10.483870967741936,43,55,7,4.838709677419355,loss
87,40.26845637583892,2.0923076923076924,0.8153846153846154,2.0923076923076924,36.29032258064516,0.30201342281879195,1,12.096774193548388,44,65,5,2.4193548387096775,loss
88,58.18181818181818,2.3181818181818183,0.6363636363636364,2.3181818181818183,41.1764705882353,0.38181818181818183,2,15.686274509803921,44,22,0,0,win
89,36.36363636363637,2.7358490566037736,1.0566037735849056,2.7358490566037736,42.4,0.34415584415584416,1,11.2,45,53,7,4.8,loss
90,48.10126582278481,2.8076923076923075,1.0192307692307692,2.8076923076923075,33.333333333333336,0.23417721518987342,2,17.117117117117118,45,52,5,2.7027027027027026,win
91,35.374149659863946,2.581818181818182,1.0727272727272728,2.581818181818182,41.80327868852459,0.3469387755102041,1,10.655737704918034,46,55,8,4.918032786885246,loss
92,45.333333333333336,4.085714285714285,1.3142857142857143,4.085714285714285,37.254901960784316,0.25333333333333335,2,16.666666666666668,46,35,4,4.901960784313726,win
93,38.095238095238095,2.901639344262295,1.0491803278688525,2.901639344262295,33.87096774193548,0.2222222222222222,1,14.516129032258064,47,61,4,6.451612903225806,win
94,36.170212765957444,2.8448275862068964,1.1724137931034482,2.8448275862068964,32.8,0.21808510638297873,2,13.6,47,58,10,4.8,loss
95,44.44444444444444,1.9365079365079365,0.8095238095238095,1.9365079365079365,42.14876033057851,0.40476190476190477,1,11.570247933884298,48,63,8,0.8264462809917356,win
96,35.714285714285715,1.9607843137254901,0.6078431372549019,1.9607843137254901,53.17460317460318,0.5982142857142857,2,7.936507936507937,48,51,8,1.5873015873015872,loss
97,32,3.1481481481481484,1.037037037037037,3.1481481481481484,36.36363636363637,0.25142857142857145,1,11.570247933884298,49,54,4,7.43801652892562,loss
98,29.213483146067414,2.65625,0.953125,2.65625,26.229508196721312,0.1797752808988764,2,10.655737704918034,49,64,4,6.557377049180328,win
99,40.90909090909091,3.036363636363636,0.9454545454545454,3.036363636363636,35.43307086614173,0.2556818181818182,1,14.173228346456693,50,55,8,5.511811023622047,loss
100,44.6927374301676,3.142857142857143,1.1964285714285714,3.142857142857143,32.5,0.21787709497206703,2,16.666666666666668,50,56,5,5,win
101,37.91469194312796,3.3442622950819674,1.4426229508196722,3.3442622950819674,24.59016393442623,0.14218009478672985,1,16.39344262295082,51,61,5,7.377049180327869,win
102,37.81094527363184,2.953846153846154,1.123076923076923,2.953846153846154,27.77777777777778,0.17412935323383086,2,15.079365079365079,51,65,7,7.142857142857143,loss
103,38.46153846153846,2.1267605633802815,0.8591549295774648,2.1267605633802815,27.868852459016395,0.21794871794871795,1,12.295081967213115,52,71,8,3.278688524590164,win
104,39.21568627450981,2.4915254237288136,0.9322033898305084,2.4915254237288136,32.78688524590164,0.26143790849673204,2,12.295081967213115,52,59,6,4.098360655737705,loss
105,39.08045977011494,2.9107142857142856,1.25,2.9107142857142856,33.333333333333336,0.2413793103448276,1,13.492063492063492,53,56,6,3.9682539682539684,loss
106,38.857142857142854,3.1320754716981134,1.1132075471698113,3.1320754716981134,40.98360655737705,0.2857142857142857,2,13.934426229508198,53,53,7,7.377049180327869,win
107,38.62068965517241,2.129032258064516,0.8548387096774194,2.129032258064516,36.22047244094488,0.31724137931034485,1,11.023622047244094,54,62,7,0.7874015748031497,loss
108,30.136986301369863,2.280701754385965,0.8070175438596491,2.280701754385965,33.333333333333336,0.2876712328767123,2,8.73015873015873,54,57,5,1.5873015873015872,win
